id,state_name,constituency_name,state_name_dm,constituency_name_dm
384,Uttar Pradesh-S24,Badaun,uttar pradesh,badaun
385,Uttar Pradesh-S24,Aonla,uttar pradesh,aonla
386,Uttar Pradesh-S24,Bareilly,uttar pradesh,bareilly
387,Uttar Pradesh-S24,Pilibhit,uttar pradesh,pilibhit
388,Uttar Pradesh-S24,Shahjahanpur,uttar pradesh,shahjahanpur
389,Uttar Pradesh-S24,Kheri,uttar pradesh,kheri
390,Uttar Pradesh-S24,Dhaurahra,uttar pradesh,dhaurahra
391,Uttar Pradesh-S24,Sitapur,uttar pradesh,sitapur
392,Uttar Pradesh-S24,Hardoi,uttar pradesh,hardoi
393,Uttar Pradesh-S24,Misrikh,uttar pradesh,misrikh
394,Uttar Pradesh-S24,Unnao,uttar pradesh,unnao
395,Uttar Pradesh-S24,Mohanlalganj,uttar pradesh,mohanlalganj
396,Uttar Pradesh-S24,Lucknow,uttar pradesh,lucknow
397,Uttar Pradesh-S24,Rae Bareli,uttar pradesh,rae bareli
398,Uttar Pradesh-S24,Amethi,uttar pradesh,amethi
399,Uttar Pradesh-S24,Sultanpur,uttar pradesh,sultanpur
400,Uttar Pradesh-S24,Pratapgarh,uttar pradesh,pratapgarh
401,Uttar Pradesh-S24,Farrukhabad,uttar pradesh,farrukhabad
402,Uttar Pradesh-S24,Etawah,uttar pradesh,etawah
403,Uttar Pradesh-S24,Kannauj,uttar pradesh,kannauj
404,Uttar Pradesh-S24,Kanpur,uttar pradesh,kanpur
405,Uttar Pradesh-S24,Akbarpur,uttar pradesh,akbarpur
406,Uttar Pradesh-S24,Jalaun,uttar pradesh,jalaun
407,Uttar Pradesh-S24,Jhansi,uttar pradesh,jhansi
408,Uttar Pradesh-S24,Hamirpur,uttar pradesh,hamirpur
409,Uttar Pradesh-S24,Banda,uttar pradesh,banda
410,Uttar Pradesh-S24,Fatehpur,uttar pradesh,fatehpur
411,Uttar Pradesh-S24,Kaushambi,uttar pradesh,kaushambi
412,Uttar Pradesh-S24,Phulpur,uttar pradesh,phulpur
413,Uttar Pradesh-S24,Allahabad,uttar pradesh,allahabad
414,Uttar Pradesh-S24,Barabanki,uttar pradesh,barabanki
415,Uttar Pradesh-S24,Faizabad,uttar pradesh,faizabad
416,Uttar Pradesh-S24,Ambedkar Nagar,uttar pradesh,ambedkar nagar
417,Uttar Pradesh-S24,Bahraich,uttar pradesh,bahraich
418,Uttar Pradesh-S24,Kaiserganj,uttar pradesh,kaiserganj
419,Uttar Pradesh-S24,Shrawasti,uttar pradesh,shrawasti
420,Uttar Pradesh-S24,Gonda,uttar pradesh,gonda
421,Uttar Pradesh-S24,Domariyaganj,uttar pradesh,domariyaganj
422,Uttar Pradesh-S24,Basti,uttar pradesh,basti
423,Uttar Pradesh-S24,Sant Kabir Nagar,uttar pradesh,sant kabir nagar
